Symbol	Description
5VJ	Halcyon Agri Corporation Ltd
5VP	Gds Global Limited
5VS	Hafary Holdings Limited
5WA	Intl Healthway Corp Limited
5WF	Isoteam Ltd.
5WG	Singapore Kitchen Equipmentltd
5WH	Rex International Holding Ltd
5WJ	Moneymax Financial Servicesltd
5WV	Asiaphos Limited
5XFW	Cnooc 5xlongsg250423
5YDW	Sgx 5xshortsg261217
600	Hyflux Ltd
6AZB	Astrea Vi3%b310318#
7QQS	Nz07100s 270301
8A1	Forise Int
8AZ	Aztech Gbl
8E8W	Hsi 7xshortub260630
8E9W	Jd 5xlongsg250924
8K7	Ughealthcare
8R7W	Tencen3xshortub250428us$
8U7U	Ireit Global Eur
8W1W	Xiaomi 5xshortsg250515
8W3W	Meituan Mb Ecw250506
8YLS	Nz19100s 390701
8YY	Biolidics Limited
91DB	Firstsponsor4.85%pccs#
92NW	Nasdaq 7xshortub250922
95DW	Clife 5xshortsg250320
96DW	Datapulse Tech W271128
96KW	Meituan 5xshortsg260513
97XW	Djia 5xshortub250922
98HW	Hsi 21400mbepw250429
9A9W	S&p 6250mbecw250620
9B2W	Hstech 7xshortsg270309
9CI	Capitalandinvest
9E9W	Valuemax W260914
9G2	Sam Holdings
9GBW	Xiaomi 5xlongub250930
9I7	Nosignboard
9I9W	Pingan Mb Epw250603
9J2W	Petroch 5xlongub250430
9NHW	Advancedsys W261224
9O5W	Alibaba 5xlongsg250924
9OQW	Hsi 26800mbecw250429
9P8W	Hsi 22400mbecw250328
9PPW	Petroch 5xshortub250430
9Q4W	Sgx Mb Epw250627
9QX	Beverlyjcg
9RNW	Clife Mbecw251003
9U1W	Meituan Mb Ecw250804
9VHW	Tencent 5xshortsg260513
9W1W	Sats Mb Ecw250630
9W2W	Cosco 5xlongub251031
9W8B	Na24300e 540601
9XCW	Uob 5xshortsg261217
9ZIW	Nasdaq 7xlongub250922
9ZYW	Hstech 7xshortsg260605
A04	Asl Marine Holdings Ltd
A05	Avjennings Limited
A17U	Ascendas Real Estate Inv Trust
A26	Sinarmas Land Limited
A30	Aspial Corporation Limited
A31	Addvalue Technologies Ltd
A33	Blumont Group Ltd.
A34	Amara Holdings Ltd
A35	Abf Spore Bond Index Fund Etf
A50	Rowsley Ltd.
A52	Annaik Limited
A55	Asia Enterprises Holding Ltd
A78	Liongold Corp Ltd
A7RU	Cityspring Infrastruct Trust
A93	Amova Asia Exjc S$
A95W	Katrina W281008
AAJ	Sunmoon Food Company Limited
ACV	Frasers Hospitality Trust
ADN	First Sponsor Group Limited
AFUS	Nx15100z 250601
AGS	The Hour Glass Limited
AIY	Ifast Corporation Ltd.
AJ2	Ouhua Energy Holdings Limited
AJBU	Keppel Dc Reit
AOF	Amplefield Limited
AP4	Riverstone Holdings Limited
AU8U	Capitaretail China Trust
AVX	Hl Global Enterprises Limited
AW9U	First Real Estate Inv Trust
AWC	Lindeteves-jacoberg Ltd
AWG	Aei Corporation Ltd
AWI	Thakral Corporation Ltd
AWK	Fuxing China Group Limited
AWM	Shanghai Turbo Enterprises Ltd
AWV	Captii Limited
AWX	Aem Holdings Ltd
AWZ	Multi-chem Limited
AYN	Global Testing Corporation Ltd
AYV	Acma Ltd.
AZA	Ipc Corporation Limited
AZG	8telecom Intl Holdings Co Ltd
AZR	United Food Holdings Limited
AZT	Lottvision Limited
B00W	Hsi 3xlongsg280309
B0Z	China Fishery Group Limited
B26	Ban Leong Technologies Limited
B28	Bonvests Holdings Ltd
B49	World Precision Machinery Ltd
B58	Banyan Tree Holdings Limited
B61	Bukit Sembawang Estates Ltd
B69	Broadway Industrial Group Ltd
B73	Global Investments Limited
B9S	Cosmosteel Holdings Limited
BAC	Jacks International Limited
BAI	S I2i Limited
BAZ	Lion Asiapac Ltd
BBP	Hor Kew Corporation Limited
BBW	Azeus Systems Holdings Ltd.
BCD	China Yuanbang Prop Hldgs Ltd
BCV	Qian Hu Corporation Limited
BCY	Powermatic Data Systems Ltd
BCZ	Travelite Holdings Ltd.
BDA	Pne Industries Ltd
BDR	Willas-array Elec (hldgs) Ltd
BDU	Federal Int(2000) Ltd
BDX	Gsh Corporation Limited
BEC	Brc Asia Limited
BEH	China International Hldgs Ltd
BEI	Lht Holdings Limited
BEW	Jb Foods Limited
BEZ	Beng Kuang Marine Limited
BFI	Tiong Seng Holdings Limited
BFK	Pharmesis International Ltd.
BFT	Fabchem China Limited
BFU	Tye Soon Ltd
BGO	Universal Resource & Svcs Ltd
BHD	China Mining International Ltd
BHK	Siic Environment Holdings Ltd.
BHU	Sutl Enterprise Limited
BIP	Vibrant Group Limited
BIX	Ellipsiz Ltd
BJD	Vibropower Corporation Limited
BJGS	Na16100h 460301
BJHS	Nx16100f 260601
BJIS	Nz16100x 360801
BJV	Yamada Green Resources Limited
BJZ	Koda Ltd
BKA	Sin Heng Heavy Machinery Ltd
BKK	Luxking Group Holdings Limited
BKV	Dukang Distillers Hldgs Ltd
BKW	Datapulse Technology Limited
BKX	Yongmao Holdings Limited
