Symbol	Description
BVA	Bravada Gold Corp
BWLK	Boardwalktech Software Corp
BYM.H	Baymount Incorporated
BYN	Banyan Gold Corp
BZ	Benz Mining Corp
CAC.P	Cinaport Acquisition Corp III
CAD	Colonial Coal International Corp
CAF	Canaf Investments Inc
CAI	Capitan Investment Ltd
CAM	Cascadia Minerals Ltd
CAN	Canadian Gold Resources Ltd
CANB	Canadabis Capital Inc
CAND	Candelaria Mining Corp
CANS	Wildpack Beverage Inc
CANX	Canex Metals Inc
CAPT	Captain Silver Corp
CART.H	Carcetti Capital Corp
CASA	Casa Minerals Inc
CAU.H	China Goldcorp Ltd
CBA	Champion Bear Res Ltd
CBG	Chibougamau Independent Mines Inc
CBI	Colibri Resource Corp
CBIT	Cathedra Bitcoin Inc
CBLU	Clear Blue Technologies Intl Inc
CBR	Cabral Gold Inc
CBV	Cobra Venture Corp
CCB	Canada Carbon Inc
CCCM	C3 Metals Inc
CCD	Cascadero Copper Corp
CCDS	Carrier Connect Data Solutions Inc
CCE	Commerce Resources Corp
CCEC	Cancambria Energy Corp
CCMI	Canadian Critical Minerals Inc
CD	Cantex Mine Development Corp
CDA	Canuc Resources Corp
CDB	Cordoba Minerals Corp
CDPR	Cerro DE Pasco Resources Inc
CEBI	Ce Brands Inc
CEC	Canasia Energy Corp
CEI	Coelacanth Energy Inc.
CELL	Grid Battery Metals Inc
CEN.H	Claren Energy Corp
CEO.H	Clydesdale Resources Inc.
CEQ	Criterium Energy Ltd
CERT	Cerrado Gold Inc
CFA.H	Clear Gold Resources Inc
CFY	Cf Energy Corp
CGC	Canadian Gold Corp
CGD	Carlin Gold Corp
CH	Charbone Hydrogen Corporation
CHIP.H	Health Logic Interactive Inc
CHS	Comprehensive Healthcare Systems Inc.
CHY.H	Cypress Hills Resource Corp
CIO	Central Iron Ore Ltd
CKG	Chesapeake Gold Corp
CLCO	Culico Metals Inc
CLIC	Comet Lithium Corp.
CLIP	Clip Money Inc
CLM	Consolidated Lithium Metals Inc
CLUS	Colossus Resources Corp
CLV	Canoe Mining Ventures Corp
CMB	Cmc Metals Ltd
CMC	Cielo Waste Solutions Corp
CMD	Commander Resources Ltd
CMI	C-COM Satellite Systems Inc
CMIL	Capella Minerals Ltd
CML	Canickel Mining Ltd
CMO.H	Cliffmont Resources Ltd.
CN	Condor Resources Inc
CNC	Canada Nickel Company Inc
CNO	California Nanotechnologies Corp
CNRI	Canadian North Resources Inc
CNST.P	Constellation Capital Corp
CNVI	Conavi Medical Corp
CNX	Callinex Mines Inc
COCO	Coast Copper Corp.
COLL.P	Collingwood Resources Corp
CONE	Canada One Mining Corp
COO	Naturebank Asset Management Inc
COR	Camino Minerals Corp
COS	Coniagas Battery Metals Inc
COSA	Cosa Resources Corp.
COV	Covalon Technologies Ltd
CPAU	Copaur Minerals Inc
CPER	Coppercorp Resources Inc
CPI	Carlton Precious Inc
CPL	Copper Lake Resources Ltd
CPS	Canadian Premium Sand Inc
CQR	Conquest Resources Ltd
CRB	Cariboo Rose Resources Ltd
CRD	Copper Road Resources Inc
CRE	Critical Elements Lithium Corp
CRI	Churchill Resources Inc
CSG.H	Cosigo Resources Ltd
CSL.H	Comstock Metals Ltd.
CSOC.A	Canso Select Opportunities Corp Class A
CSOC.B	Canso Select Opportunities Corp Class B
CSTR	Cryptostar Corp
CTA	Centaurus Energy Inc
CTEK	Cleantek Industries Inc
CTG	Centenario Gold Corp
CTH	Cotec Holdings Corp
CTM	Canterra Minerals Corp
CTN	Centurion Minerals Ltd
CTRL	Edge Total Intelligence Inc
CTV	Cleantech Vanadium Mining Corp
CTZ	Namsys Inc
CUB	Cubicfarm Systems Corp
CUCU	Global Copper Corp
CUEX	Copperex Resources Corporation
CUSN	Cornish Metals Inc
CUU	Copper Fox Metals Inc
CVB	Compass Gold Corp
CVV	Canalaska Uranium Ltd
CVW	Cvw Cleantech Inc
CVY.P	Cavalry Capital Corp.
CWV	Crown Point Energy Inc
CYBE	Cybercatch Holdings Inc
CYF	Canyon Creek Food CO Ltd
CYG	Cygnus Metals Limited
CYM	Cymat Technologies Ltd
CYTO	Cytophage Technologies Ltd.
CZ.H	Cassius Ventures Ltd
CZZ	Cleghorn Minerals Ltd
DAN	Arianne Phosphate Inc
DAR	Darelle Online Solutions Inc
DAT.H	Datum Ventures Inc
DAU	Desert Gold Ventures Inc
DB	Decibel Cannabis Company Inc
DBG	Doubleview Gold Corp
DCOP	District Copper Corp
DDD	Metavista3D Inc
DE	Decisive Dividend Corp
DE.WT	Decisive Dividend Corporation Wts
DEAL	Playgon Games Inc
DEC	Decade Resources Ltd
DEF	DeFiance Silver Corp
DEFN	Defense Metals Corp
DELX	Delphx Capital Markets Inc
DEX	Almadex Minerals Ltd
DFR	Dfr Gold Inc
DG	Dixie Gold Inc
DGC	Daura Gold Corp
DGHI	Digihost Technology Inc
DGO	Durango Resources Inc
DGTL.H	Dgtl Holdings Inc
DGX	Digi Power X Inc
DHB	Delivra Health Brands Inc
DHR	Discovery Harbour Resources Corp
DIA	Margaret Lake Diamonds Inc
DIG.H	District Mines Ltd
DLC	Dlc Holdings Corp
DLP	Dlp Resources Inc
DLTA	Delta Resources Ltd
DM	Datametrex Ai Ltd
DME	Desert Mountain Energy Corp
DMGI	Dmg Blockchain Solutions Inc
DMGI.WT	Dmg Blockchain Solutions Inc.
DMI	Diamcor Mining Inc
DMX	District Metals Corp
DOS	Dios Exploration Inc
DPF	Dr Phone Fix Canada Corporation
DRY	Dryden Gold Corp
DSY	Destiny Media Technologies Inc
DTEA	Davidstea Inc
DTWO	D2 Lithium Corp
DV	Dolly Varden Silver Corp
DWS	Diamond Estates Wines and Spirits Inc
DYG	Dynasty Gold Corp
EAM	East Africa Metals Inc
EAU	Engineer Gold Mines Ltd
EBM	Eastwood Bio Medical Canada Inc
ECAP.P	Endurance Capital Corp
ECM	Ecolomondo Corp
ECOM	Emerge Commerce Ltd
ECOM.WT	Emerge Commerce Ltd Wts
ECR	Cartier Resources Inc
ECU	Element 29 Resources Inc
EDDY	Edison Battery Metals Corp
EDG	Endurance Gold Corp
EDM	Edm Resources Inc
EDW.H	Edgewater Exploration Ltd
EDY	Eddy Smart Home Solutions Ltd
EESH.P	Aneesh Capital Corp
EFF	1844 Resources Inc
EGM	Engold Mines Ltd
EGR	Egr Exploration Ltd
EGT	Eguana Technologies Inc
EKG	Cardiocomm Solutions Inc.
ELBM	Electra Battery Metals Corp
ELC	Elysee Development Corp
ELE	Elemental Altus Royalties Corp
ELEC	Electric Royalties Ltd
ELL	Everybody Loves Languages Corp
ELY	Electrum Discovery Corp
EML	Electric Metals [Usa] Ltd
EMM	Giyani Metals Corp
EMN	Euro Manganese Inc
EMNT	Eminent Gold Corp
EMO	Emerita Resources Corp
EMPR	Empress Royalty Corp
EMR	Emergent Metals Corp
EMX	Emx Royalty Corp
ENA	Enablence Technologies Inc
ENDR	Enduro Metals Corp
ENEV	Enerev5 Metals Inc
ENRG	New Energy Metals Corp
ENTG	Entourage Health Corp
ENW	Enwave Corp
EOG	Eco Atlantic Oil and Gas Ltd
EON	Eon Lithium Corp
EOX	Euromax Resources Ltd
EPF	Everyday People Financial Corp
EPL	Eagle Plains Resources Ltd
EPO.H	Encanto Potash Corp
EQ	Eq Inc
EQTY	Equity Metals Corp
ERA	Elcora Advanced Materials Corp
ESE	Ese Entertainment Inc
ESK	Eskay Mining Corp
ESPN	Hispania Resoucres Inc
ETF	Eastfield Resources Ltd
ETL	E3 Lithium Ltd
ETU	E2Gold Inc
EU	Encore Energy Corp
EVER	Evergold Corp
EVGN	Evergen Infrastructure Corp
EVMT	Evome Medical Technologies Inc
EVNI	Ev Nickel Inc
EW	East West Petroleum Corp
EWK	Earthworks Industries Inc
EXG	Exgen Resources Inc
FA	Fountain Asset Corp
FAIR	Fairchild Gold Corp
FAN	First Atlantic Nickel Corp
FAS	First Andes Silver Ltd
FBF	Fab-Form Industries Ltd
FCA.UN	Firm Capital Apartment Real Estate Investment TR
FCLI	Full Circle Lithium Corp
FDI	Findev Inc
FDR	Founders Metals Inc
FEO	Oceanic Iron Ore Corp
FEX	Fjordland Exploration Inc
FFOX	Firefox Gold Corp
FFU	F4 Uranium Corp.
FG	Falcon Gold Corp
FGCC.P	First and Goal Capital Corp
FHR	Fiddlehead Resources Corp
FHR.WT	Fiddlehead Resources Corp Wts
FHYD	First Hydrogen Corp
FIN	Grit Metals Corp
FIND	Baselode Energy Corp
FINV.P	Faction Investment Group Corp
FISH	Sailfish Royalty Corp
FKM	Fokus Mining Corp
FL	Frontier Lithium Inc
FLCN	Falcon Energy Materials Plc
FLT	Volatus Aerospace Inc
FMAN	Freeman Gold Corp
FMAN.WT.U	Freeman Gold Corp
FMC	Forum Energy Metals Corp
FMM	Full Metal Minerals Ltd
FMN	Fidelity Minerals Corp
FMS	Focus Graphite Inc
FMT	Fuerte Metals Corporation
FNC	Fancamp Exploration Ltd
FNM	First Nordic Metals Corp
FNR	49 North Resources Inc
FO	Falcon Oil & Gas Ltd
FOR	Fortune Bay Corp
FP	Fp Newspapers Inc
FPC	Falco Resources Ltd
FPX	Fpx Nickel Corp
FRAS.P	Fraser Big Sky Capital Corp
FRED	Fredonia Mining Inc
FREQ	Frequency Exchange Corp
FRI	Freeport Resources Inc
FRNT	Frnt Financial Inc
FRS.P	Farstarcap Investment Corp
FRSH	The Fresh Factory B.C Ltd.
FTEC	Fintech Select Ltd
FTI	Fti Foodtech International Inc
FTJ	Fort ST James Nickel Corp
FTUR	Future Fuels Inc
FTZ	Fitzroy Minerals Inc
FUSE	Fuse Battery Metals Inc
FUU	F3 Uranium Corp
FV.H	Firestone Ventures Inc
FW	Flow Capital Corp
FWTC	Forward Water Technologies Corp
FWZ	Fireweed Metals Corp
FYL	Finlay Minerals Ltd
GAB	Gabo Mining Ltd.
GAL	Galantas Gold Corp
GASX	Ng Energy Intl Corp
GASX.WT.A	Ng Energy International Corp Wts A
GBML	Global Battery Metals Ltd
GBRC	Gold Bull Resources Corp
GBU	Gabriel Res J
GCN	Goldcliff Resource Corp
GCOM	Green Shift Commodities Ltd
GCX	Granite Creek Copper Ltd
GDX	Goldex Resources Corp
GEL	Graphano Energy Ltd
GEM	Green Battery Minerals Inc
GEMC	Global Energy Metals Corp
GEN	Generation Uranium Inc
GENX	Genix Pharmaceuticals Corp
GFG	Gfg Resources Inc
GFM.H	Gfm Resources Ltd.
GG	Golconda Gold Ltd
GGA	Goldgroup Mining Inc
GGI	Garibaldi Resources Corp
GGL	Ggl Resources Corp
GGM	Granada Gold Mine Inc
GGO	Galleon Gold Corp
GGX	Ggx Gold Corp
GHL	Goldhills Holding Ltd
GHRT	Greenheart Gold Inc
GIG	Xau Resources Inc
GIGA	Giga Metals Corp
GIII	Regen III Corp
GIP	Green Impact Partners Inc
GKO	Geekco Technologies Corp
GLAD	Gladiator Metals Corp
GLB	Goldbank Mining Corp
GLD	Goldon Resources Ltd
GLDC	Cassiar Gold Corp
GLI	Glacier Lake Resources Inc
GMA	Geomega Resources Inc
GMG	Graphene Manufacturing Group Ltd
GMG.WT.A	Graphene Manufacturing Group Ltd Wts A
GMV	Gmv Minerals Inc
GNFI	Genifi Inc
GNG	Golden Goliath Resources Ltd
GOFL	Goldflare Exploration Inc
GOK	Ginsms Inc
GOOD	Good Gamer Entertainment Inc
GOP.H	Gourmet Ocean Products Inc
GOT	Goliath Resources Ltd
GPAC	Great Pacific Gold Corp
GPG	Grande Portage Resources Ltd
GPH	Graphite One Inc
GPM	Gpm Metals Inc
GPUS	Alset Ai Ventures Inc
GPV	Greenpower Motor Company Inc
GQ	Great Quest Gold Ltd
GQC	Goldquest Mining Corp
GR	Great Atlantic Resources Corp
GRAT	Gratomic Inc
GRB	Greenbriar Sustainable Living Inc
GRD	Grounded Lithium Corp
GRDM	Grid Metals Corp
GRF	Green Rise Foods Inc
GRG	Golden Arrow Res Corp
GRI	Galore Resources Inc
GRSL	Gr Silver Mining Ltd
GRVA.P	Grosvenor Cpc I Inc.
GRZ	Gold Reserve Ltd
GSD	Devonian Health Group Inc
GSHR	Goldshore Resources Inc
GSI	Gatekeeper Systems Inc
GSP	Gensource Potash Corp
GSPR	Gsp Resource Corp
GSS	Gossan Resources Ltd
GSTM	Goldstorm Metals Corp
GSVR	Guanajuato Silver CO Ltd
GT	GT Resources Inc.
GTC	Getty Copper Inc
GTD.H	Gstaad Capital Corp
GTM.P	G2M Cap Corp
GUF	Gulf & Pacific Equities Corp
GUG	Gungnir Resources Inc
GUN	Gunpoint Exploration Ltd
GUS	Angus Gold Inc
GVR	Grosvenor Resources Corp
GWM	Galway Metals Inc
GX	Guardian Exploration Inc
GXU	Goviex Uranium Inc
GXX	Gold Basin Resources Corp
GXY.P	Galaxy Ventures Inc.
GZD	Grizzly Discoveries Inc
HAM	Highwood Asset Management Ltd
HAM.WT	Highwood Asset Management Ltd Wts
HAN	Hannan Metals Ltd
HANK	Nobelium Tech Corp
HANS	Hanstone Gold Corp
HAPB	Hapbee Technologies Inc
HAR	Harfang Exploration Inc
HART	Gold Hart Copper Corp
HASH	Simply Solventless Concentrates Ltd.
HAWK	Hawkeye Gold and Diamond Inc
HAY	Hayasa Metals Inc
HBK	Highbank Resources Ltd.
HC	Hypercharge Networks Corp.
HCC.H	Hanna Capital Corp
HCH	Hot Chili Limited
HCM.H	Highcliff Metals Corp
HCU	Horizon Copper Corp.
HDRO	Primary Hydrogen Corp
HELI	First Helium Inc
HEM	Hemostemix Inc
HEMP	Hempalta Corp
HEVI	Helium Evolution Incorporated
HFC	Hampton Financial Corp
HHH	Helius Minerals Ltd
HI	Highland Copper Company Inc
HILL	Hill Inc
HITI	High Tide Inc
HIVE	Hive Blockchain Technologies Inc
HLU	Homeland Uranium Corp
HMAN	Huntsman Exploration Inc
HMCC.P	High Mountain 2 Capital Corporation
HME	Hemisphere Energy Corp
HMR	Homerun Resources Inc
HMT	Halmont Properties Corporation
HO.P	H2 Ventures 1 Inc
HOH	High Arctic Overseas Holdings Corp
HPL	Horizon Petroleum Ltd
HPM	Halcones Precious Metals Corp
HPQ	Hpq Silicon Inc.
HPY	Happy Creek Minerals Ltd
HRC.P	Hoshi Resource Corp
HRE.H	Stans Energy Corp
HSTR	Heliostar Metals Ltd
HTC.H	Htc Purenergy Inc
HVG	Harvest Gold Corp
HWY	Highway 50 Gold Corp
IB	Ibc Advanced Alloys Corp
IBAT	International Battery Metals Ltd
ICGH	Ic Group Holdings Inc
ICM	Iconic Minerals Ltd
ICON	Intl Iconic Gold Exploration Corp.
ICRS	Icarus Capital Corp
ID	Identillect Technologies Corp
IEI	Imperial Equities Inc
IFOS	Itafos
IFR	International Frontier Resources Corpora
IFX	Imaflex Inc
IGO	Independence Gold Corp
ILC	International Lithium Corp
ILI	Imagine Lithium Inc
IMC	Ibero Mining Corp
IMM	International Metals Mining Corp
IMR	Imetal Resources Inc
INEO	Ineo Tech Corp
INFD	Infield Minerals Corp
INFI	Infinitum Copper Corp
INFM	Infinico Metals Corp
INIK	Ionik Corp
INTR	Intrepid Metals Corp
INX	Intouch Insight Ltd
ION	ION Energy Ltd
IOT	Innovotech Inc
IPT	Impact Silver Corp
IQ	Airiq Inc
IRI	Iemr Resources Inc
IRO	Inter-Rock Minerals Inc
ISGI	Insuraguest Technologies Inc
ITR	Integra Resources Corp
ITR.WT	Integra Resources Corp Wts
IVS	Inventus Mining Corp
IVX	Inventronics Ltd
IXI	Indigo Exploration Inc
IZ	International Zeolite Corp
IZN	Inzinc Mining Ltd
IZZ	International Prospect Ventures Ltd
JADE	Jade Leader Corp
