Symbol	Description
FUH29	Euro Stoxx 50 TR {Mar 29}
FUH30	Euro Stoxx 50 TR {Mar 30}
FUM25	Euro Stoxx 50 TR {Jun 25}
FUM26	Euro Stoxx 50 TR {Jun 26}
FUM27	Euro Stoxx 50 TR {Jun 27}
FUM28	Euro Stoxx 50 TR {Jun 28}
FUM29	Euro Stoxx 50 TR {Jun 29}
FUM30	Euro Stoxx 50 TR {Jun 30}
FUU25	Euro Stoxx 50 TR {Sep 25}
FUU26	Euro Stoxx 50 TR {Sep 26}
FUU27	Euro Stoxx 50 TR {Sep 27}
FUU28	Euro Stoxx 50 TR {Sep 28}
FUU29	Euro Stoxx 50 TR {Sep 29}
FUZ25	Euro Stoxx 50 TR {Dec 25}
FUZ26	Euro Stoxx 50 TR {Dec 26}
FUZ27	Euro Stoxx 50 TR {Dec 27}
FUZ28	Euro Stoxx 50 TR {Dec 28}
FUZ29	Euro Stoxx 50 TR {Dec 29}
FUZ30	Euro Stoxx 50 TR {Dec 30}
FUZ31	Euro Stoxx 50 TR {Dec 31}
FUZ32	Euro Stoxx 50 TR {Dec 32}
FUZ33	Euro Stoxx 50 TR {Dec 33}
FUZ34	Euro Stoxx 50 TR {Dec 34}
FX	Euro Stoxx 50
FX.C	Euro Stoxx 50 Continuation
FXH25	Euro Stoxx 50 {Mar 25}
FXH26	Euro Stoxx 50 {Mar 26}
FXH27	Euro Stoxx 50 {Mar 27}
FXH28	Euro Stoxx 50 {Mar 28}
FXM25	Euro Stoxx 50 {Jun 25}
FXM26	Euro Stoxx 50 {Jun 26}
FXM27	Euro Stoxx 50 {Jun 27}
FXU25	Euro Stoxx 50 {Sep 25}
FXU26	Euro Stoxx 50 {Sep 26}
FXU27	Euro Stoxx 50 {Sep 27}
FXZ25	Euro Stoxx 50 {Dec 25}
FXZ26	Euro Stoxx 50 {Dec 26}
FXZ27	Euro Stoxx 50 {Dec 27}
FY.C	Stoxx 600 Continuation
FYH25	Stoxx 600 {Mar 25}
FYH26	Stoxx 600 {Mar 26}
FYH27	Stoxx 600 {Mar 27}
FYH28	Stoxx 600 {Mar 28}
FYM25	Stoxx 600 {Jun 25}
FYM26	Stoxx 600 {Jun 26}
FYM27	Stoxx 600 {Jun 27}
FYU25	Stoxx 600 {Sep 25}
FYU26	Stoxx 600 {Sep 26}
FYU27	Stoxx 600 {Sep 27}
FYZ25	Stoxx 600 {Dec 25}
FYZ26	Stoxx 600 {Dec 26}
FYZ27	Stoxx 600 {Dec 27}
GG.C	Euro Bund Continuation
GGH25	Euro Bund {Mar 25}
GGM25	Euro Bund {Jun 25}
